Track;Album Name;Artist;Release Date;ISRC;All Time Rank;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach
Gentleman;Clubland 23;PSY;01/01/13;USUM71304188;4357;119666188;25949;3520970
Neon Pill;Neon Pill;Cage The Elephant;1/19/2024;USRC12303405;3261;12032878;3204;6664877
"Vigdiyan Heeran (From ""Honey 3.0"")";Honey 3.0;Yo Yo Honey Singh;3/15/2024;INZ031414584;3331;12044437;361;1194858
American Boy (No Rap Version);American Boy (Remixes 2024) - Single;Estelle;5/22/2024;QM7YK2300245;1941;12102307;2;9001
Baarish;Baarish;Payal Dev;08/11/20;INUM72000050;2244;12208412;1424;362321
Sunday Service;Sunday Service;Latto;02/09/24;USRC12400151;2505;12270831;1736;2704404
Accendio;IVE SWITCH;IVE;4/29/2024;QM4TX2478221;1418;12367963;1027;749609
"Welcome To Rosas - From ""Wish""";"Welcome To Rosas (From ""Wish"")";Ariana DeBose;11/01/23;USWD12328240;699;12375503;1146;6969708
SWIPE;SWIPE - Single;ALYPH;10/21/2022;SGUM72201016;4312;12383314;2946;205771
Overcompensate (edit);Overcompensate;Twenty One Pilots;2/29/2024;USAT22401064;3339;12478109;1427;5707433
Go Back (feat. Julia Church);Go Back (feat. Julia Church);John Summit;5/16/2024;USUG12402628;1913;12724701;3327;49830444
Martes 13;Martes 13 - Single;Luis R Conriquez;5/17/2024;QM6N22452000;3768;12809544;967;11244203
RATATATA;RATATATA;BABYMETAL;5/23/2024;GBDHC2549601;3289;12875105;2081;11902188
Domingo Abacaxi Flamingo;Domingo Abacaxi Flamingo;Bolofofos;09/02/20;CACWV2000813;1221;12933566;1887;331053
Paro;Paro;Nej;5/21/2021;FR96X2142743;2112;120054361;36872;4548963
Fuk Sumn;VULTURES 1;Kanye West;02/09/24;QZ7XS2400010;1375;120079689;21002;57426798
Mayor Que Usted;Mayor Que Usted - Single;NATTI NATASHA;6/17/2022;USB272200101;4068;120404381;17334;6356554
Chorei na Vaquejada;Chorei na Vaquejada;Eric Land;4/14/2023;BXZAW2200037;4462;120491749;8494;11387986
messy in heaven;messy in heaven;venbee;9/23/2022;GBARL2201891;2779;120785398;45503;9878550
run for the hills;THINK LATER;Tate McRae;12/08/23;USRC12302981;3604;120880428;10296;16902097
Take My Name;Songs from 'For You';Parmalee;07/09/21;QMRSZ2101303;3032;120964748;18114;1669415
Jiggle Jiggle;Jiggle Jiggle;Duke & Jones;5/13/2022;GBARL2201151;891;121214716;37436;6111674
Mwaki;SURRENDER;Zerb;9/27/2023;NLRD52339318;383;121234000;36468;76765385
VOID;VOID;Melanie Martinez;3/29/2023;USAT22220418;4259;121386649;1717;3091212
Upside Down;Upside Down;JVKE;8/18/2020;QM24S2008283;925;121391098;28044;6194695
Right On;Right On;Lil Baby;04/08/22;USUG12200031;3106;121466936;55063;13549250
BATTER UP;BABYMONSTER Debut Digital Single [BATTER UP];BABYMONSTER;11/27/2023;KRA402300048;426;121497542;6748;14377499
Gogo Dance;SABIDURIA;El Alfa;04/07/22;QM4TX2261587;1385;122568157;29662;6577251
Voices In My Head;Voices In My Head;Falling In Reverse;5/31/2022;USEP42231001;3644;122568479;33824;2017666
Thoda Thoda Pyaar;Thoda Thoda Pyaar;Stebin Ben;02/12/21;INZ031408749;1959;122853878;12736;2733790
El Jefe;El Jefe;Shakira;9/20/2023;USQX92305281;1252;122882453;11838;10617531
The Last Goodbye (feat. Bettye LaVette);The Last Goodbye (feat. Bettye LaVette) - Single;ODESZA;02/08/22;GBCFB2100832;3905;122957173;65839;15313309
The Smallest Man Who Ever Lived;THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401041;2304;122986507;2923;11950658
Mama's Boy;Mama's Boy;Dominic Fike;6/23/2023;USQX92301820;4535;122999909;2457;9827231
Where You Are;Where You Are;John Summit;03/03/23;USUG12301338;2822;123058600;41625;65080812
M.A - Remix;M.A (Remix);BM;04/05/23;UYB282364001;1768;123113806;23659;5505641
Rampampam;Rampampam;Minelli;3/18/2021;ROGRA2101471;4041;123191456;30942;3676550
LA PEOPLE II;LA PEOPLE II;Peso Pluma;3/21/2024;QM4TX2458976;978;123243341;5069;34480158
Arjan Vailly;"Arjan Vailly (From ""ANIMAL"")";Manan Bhardwaj;11/18/2023;INS182303269;849;123276250;833;3632731
You Broke My Heart;For All The Dogs Scary Hours Edition;Drake;10/06/23;USUG12309646;764;123522254;26849;21166663
Little Things x Gypsy Woman - L BEATS MASHUP;Little Things x Gypsy Woman (L BEATS MASHUP);Jorja Smith;6/30/2023;QM7282376030;2677;123627077;39465;44425341
Gently (feat. Bad Bunny);For All The Dogs;Drake;10/06/23;USUG12306084;2204;123630149;25645;5218214
ASI ES LA VIDA;ASI ES LA VIDA;Enrique Iglesias;9/28/2023;USSD12300536;1254;123776123;1183;22722898
favorite;favorite - EP;Isabel LaRosa;3/29/2024;USRC12400507;919;123802404;7364;40769771
"Ranjithame (From ""Varisu"")";"Ranjithame (From ""Varisu"")";Thalapathy Vijay;11/05/22;INS182203495;189;123908201;6218;4505067
SI SABE FERXXO;SI SABE FERXXO;Blessd;1/24/2024;QZZ3N2400002;2117;124020754;8723;37831803
X ESO BB;X ESO BB;Jere Klein;08/10/23;UYB282393001;1484;124155654;18514;4998854
EASY;EASY;LE SSERAFIM;2/19/2024;USA2P2402101;455;141803939;7192;20908017
You Raise Me Up;Closer (20th Anniversary Deluxe Edition);Josh Groban;11/17/2023;USRE12300484;618;124486631;18;152
SHEESH;BABYMONS7ER;BABYMONSTER;04/01/24;KRA402400016;32;124893397;3479;25936342
Cinderella;WE DON'T TRUST YOU;Future;3/22/2024;USSM12402037;304;124945674;21581;41881780
Call Me Every Day (feat. WizKid);Call Me Every Day (feat. WizKid);Chris Brown;6/17/2022;USRC12201904;2174;125056212;43939;9282167
Flooded The Face;Pink Tape;Lil Uzi Vert;6/30/2023;USAT22306846;1885;125102655;54044;18974212
Got Me Started;Got Me Started;Troye Sivan;9/20/2023;AUUM72300183;218;125169958;19673;11567850
Sarah's Place (feat. Noah Kahan);Sarah's Place (feat. Noah Kahan);Zach Bryan;9/21/2023;USWB12305747;4183;125267352;19156;3913622
"Srivalli (From ""Pushpa The Rise Part - 01"")";"Srivalli (From ""Pushpa The Rise Part - 01"")";Javed Ali;12/14/2021;INS182116113;1917;125396685;6443;2952745
LET'S GET FKD UP;LET'S GET FKD UP (feat. Tribbs);Alok;11/17/2023;DEE862301931;2034;125445403;28349;90192884
Easy;The Plan;DaniLeigh;11/30/2018;USUM71816809;4403;41808541;7802;1222888
La La La (Brazil 2014);Shakira. (Deluxe Version);Shakira;3/14/2014;USRC11400478;4395;125560682;17633;2897643
ALCH SI;Alch Si;Carin Leon;11/30/2023;BK4DA2323373;4061;125938742;6042;9378348
Losing Interest - Original Mix;Losing Interest (Original);Goovex;06/10/24;CA5KR2465999;126;126247886;5;5973
Jumbotron Shit Poppin;Her Loss;Drake;11/04/22;USUG12208610;2635;126296463;44782;4407877
Famous Hoes;Famous Hoes;NLE Choppa;12/10/19;USWB11903266;3753;126680278;37176;2555897
Life in Rio;Life in Rio (feat. TOLCHONOV) - Single;Slowboy;3/17/2023;QM4TX2337349;337;126698724;18316;17687961
Yankee 150;Yankee 150 - Single;Yandel;6/16/2023;QM6P42372371;4189;126879048;19994;19160060
Vaaste;Vaaste;Dhvani Bhanushali;04/06/19;INS181900798;154;126921341;13291;2873906
Black Friday;Black Friday;Tom Odell;9/20/2023;USA2P2342595;2616;126929488;23805;42713528
GHOST!;GHOST!;phonk.me;12/02/22;QZTB22273485;3713;127080399;24672;15850206
wait in the truck (feat. Lainey Wilson);wait in the truck - Single;HARDY;8/26/2022;QZ22S2200068;1537;127223430;24922;3869411
Butakera;Butakera;La Joaqui;7/28/2022;ARACN2200009;3259;127392768;22713;6540862
Espresso;Espresso;Sabrina Carpenter;04/12/24;USUM72403305;22;547882871;24425;262343414
Patadas de Ahogado;Patadas de Ahogado;LATIN MAFIA;11/03/23;MXF012301101;2161;127503950;18981;16280436
HAPPY;HOPE;NF;04/07/23;USUM72300449;2032;127558523;29689;7546223
Sleazy Flow (with Lil Baby) - Remix;Sleazy Flow (Remix);SleazyWorld Go;5/26/2022;USUG12202987;4129;127742133;4852;14617698
Enough;Enough;charlieonnafriday;08/05/22;USUG12205553;3062;127772228;46233;6238494
CCC - Remix;CCC (Remix) - Single;Michelle Maciel;09/01/23;UYB282379019;3715;127818826;8847;5073881
Make You Mine;Make You Mine;Madison Beer;02/09/24;USSM12400758;786;127909006;13354;49984859
On My Love;On My Love (Sped Up);Zara Larsson;09/12/23;USSM12306769;1159;128024416;20826;60798732
Johnny Dang (with Paul Wall & DRODi);Johnny Dang (with Paul Wall & DRODi);That Mexican OT;5/26/2023;USUG12303409;1466;128049237;42334;16862073
Black Summer;Black Summer;Red Hot Chili Peppers;02/04/22;USWB12105880;3606;128264127;34856;14539064
Uno;Uno;Ambjaay;05/10/19;USSM11903445;4497;128411645;2519;4018662
Nachts wach;Nachts wach - Single;Miksu / Macloud;07/08/22;DEQ022291049;4518;128484709;57396;2682682
Desde Mis Ojos - Remix;Desde Mis Ojos (Remix);Chris Lebron;05/05/22;QM4TX2289725;4351;128669257;25684;4403591
LOVE YOU BETTER;I NEVER LIKED YOU;Future;4/29/2022;USSM12203790;1843;128787729;3715;4216777
Piel;Piel;Tiago PZK;02/01/24;USWL12400226;748;128833634;6815;48721232
Soak City (Do it);Soak City (Do it);310babii;06/03/23;QZK6G2375527;131;128855739;26723;26216067
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)";"Garmi (From ""Street Dancer 3D"")";Badshah;12/26/2019;INS181905948;3154;129283318;9852;5286439
Por las Noches (Remix);Por las Noches (Remix) - Single;Peso Pluma;2/27/2023;USQX92301266;4023;129370457;14028;4216550
adore u;adore u;Fred again..;08/11/23;GBAHS2300908;1141;129427492;44672;48826452
Your Heart Or Mine;Mr. Saturday Night;Jon Pardi;09/02/22;USUM72211354;4329;129531779;14019;7342329
Le Va Doler;Le Va Doler;Grupo Frontera;5/25/2023;FRX762399738;3187;129573063;924;3380877
Watermelon Moonshine;Songs From Bell Bottom Country;Lainey Wilson;08/12/22;QMRSZ2201709;4338;129635815;17482;10666210
Everybody (feat. Lil Uzi Vert);Pink Friday 2;Nicki Minaj;12/07/23;USUM72318678;1209;114947522;1384;280996
Tshwala Bam (feat. S.N.E) - Remix;Tshwala Bam (feat. S.N.E) [Remix];TitoM;05/12/24;ZA56E2416068;2957;13092462;1818;13699750
MVP;MVP;Shubh;05/10/24;INW262400751;3229;13194395;706;5333338
The Thin Grey Line;The Thin Grey Line;$uicideboy$;5/24/2024;QZAPK2000490;436;13289346;1936;4325365
Top 10 staTues tHat CriEd bloOd;POST HUMAN: NeX GEn;Bring Me The Horizon;5/24/2024;GBARL2400277;3788;13330547;1675;21053939
Masterplan;Masterplan;BE:FIRST;4/24/2024;JPB602401000;3101;13407929;208;2121169
Runaway (U & I) [Dance];This Is MELON, Vol. 1 (Dance);MELON;2/24/2023;ZZOPM2342242;3961;13502324;3124;10531046
IMAN (Two Of Us);IMAN (Two Of Us);Maria Becerra;5/16/2024;USWL12401428;3063;13528794;949;42348669
Goin' Off;Goin' Off;Karan Aujla;05/09/24;AUBEC2438653;1118;13606839;836;4594419
Upa Cavalinho;Galinha Pintadinha, Vol. 4;Galinha Pintadinha;07/01/14;BRP8C1200082;1485;13615330;114;407642
U My Everything (feat. Drake);In Sexyy We Trust;Sexyy Red;5/24/2024;QZS7J2409861;2133;13671209;1332;35500278
Close To You;Close To You;Gracie Abrams;06/07/24;USUG12401775;1119;13700065;1162;89144538
Cry No More (feat. Tay Keith);Cry No More (feat. Tay Keith);Headie One;4/19/2024;GBARL2400420;3804;13712090;3148;14042635
Toki;Toki;Casper Magico;05/02/24;QM4TX2443609;878;13741023;2062;5740990
The Boat Beat;The Boat Beat;Ricky Desktop;05/12/20;QZES92025420;2813;13847072;3177;474041
Overdrive;Overdrive;Post Malone;7/14/2023;USUM72306020;3669;130236751;27992;6772366
Shootout;Shootout;Izzamuzzic;6/29/2022;US3DF2266823;4276;130356067;36554;7213291
The Feeling;The Feeling - Single;Lost Frequencies;06/09/23;BEHP42300013;1623;130424397;2283;27375823
One Up;One Up;Central Cee;10/13/2022;US39N2202101;4101;130784398;51124;9618606
Never Sleep (feat. Lil Baby);Never Sleep;NAV;7/29/2022;USUM72214489;4123;130902100;56267;17813781
Breathe;2093;Yeat;2/16/2024;USUM72401623;453;131100973;16735;42444393
We Are The People - southstar Remix;We Are The People (Southstar Remix);Empire Of The Sun;2/17/2023;AU2DY2300031;1847;131670125;46791;23537698
POR EL CONTRARIO;ESQUINAS;Becky G;9/28/2023;USRC12302408;857;131938548;5913;9167049
Stand By Me (feat. Morgan Wallen);Almost Healed;Lil Durk;5/26/2023;USQX92303185;1978;132870060;27561;8424250
Too Easy;Too Easy;Gunna;9/24/2021;QMCE32100757;3452;133039977;69577;7803085
TIL FURTHER NOTICE;UTOPIA;Travis Scott;7/28/2023;USSM12305020;1451;133152051;55843;7668430
Soweto;Outlaw;Victony;05/06/22;QZAKB2164097;2123;133353888;40696;2870988
Spicy;MY WORLD - The 3rd Mini Album;aespa;05/08/23;KRA302300145;157;133536914;1291;7751540
Bebe (feat. Anuel AA);Bebe (feat. Anuel AA);Ozuna;6/21/2017;USLZJ1789654;1632;133601746;12341;3017206
THIS YEAR (Blessings);THIS YEAR (Blessings) (feat. Ehis 'D' Greatest) - Single;Victor Thompson;01/04/23;QZFYY2339108;705;134208327;45328;7606515
Last Night Lonely;Last Night Lonely;Jon Pardi;2/17/2022;USUM72200664;4269;134725621;19072;2970003
It's Plenty;Love, Damini;Burna Boy;07/01/22;USAT22205418;3;134909945;52025;5536233
Umbrella (with 21 Savage & Young Nudy);HEROES & VILLAINS;Metro Boomin;12/02/22;USUG12208786;3521;134971918;58239;5643840
8.00 AM;8.00 AM;Nicki Nicole;5/17/2023;UYB282300034;2601;135465283;20671;8011051
Straightenin;Straightenin;Migos;5/14/2021;USUG12100188;3968;135665686;61959;9905843
wiggy;wiggy;Young Miko;7/21/2023;QZXD92300012;1962;135841710;22636;7652807
The Summoning;The Summoning - Single;Sleep Token;01/06/23;GBUM72200352;3484;135976140;41454;4335379
Raining In Manila;Raining In Manila;Lola Amour;6/14/2023;PHW012300171;2633;136169854;11506;4813121
Again;Missing;Kurochuu;06/09/24;CA5KR2466577;155;136237285;2;219
I Got Love;I Got Love;MiyaGi;5/15/2018;QZ22B1946607;3682;136456221;235;30808
Boyz In Paris (with VINAI);Boyz In Paris (with VINAI);Marnik;7/28/2023;FR9W12333643;2919;136709117;28764;62770976
Bailando Bachata;Bailando Bachata - Single;Chayanne;5/25/2023;USSD12201328;479;136724343;15391;18104979
Be My Lover (feat. La Bouche) - 2023 Mix;Be My Lover (feat. La Bouche) [2023 Mix];Hypaton;4/21/2023;DEE862300656;2893;136778408;38192;48561484
Eyes Closed;Eyes Closed;Imagine Dragons;04/03/24;USUM72402448;431;51224852;5159;33795310
Bel Mercy;Bel Mercy;Jengi;12/02/22;GBAYE2202575;1681;137020536;70768;38059683
HYAENA;UTOPIA;Travis Scott;7/28/2023;USSM12305004;1468;137071285;47247;5437356
Faded;Faded;Benjamin Richter;7/28/2017;DEE861701287;458;120162;24;5642
Watch The World Burn;Watch The World Burn;Falling In Reverse;1/31/2023;USEP42231004;2029;137204273;42638;4064739
POCPOC;POCPOC;PEDRO SAMPAIO;11/23/2023;BRWMB2301411;236;137276005;9079;26226576
LOS APARATOS;LOS APARATOS;El Alfa;08/03/22;QM6P42213591;3943;137720938;30579;5580377
TOO MUCH;TOO MUCH;The Kid LAROI;10/19/2023;USSM12307154;990;137894955;20037;20683852
REACT;REACT;Switch Disco;1/13/2023;GBARL2202525;2138;137897920;26625;54204917
Tombstone;Tombstone;Rod Wave;3/24/2021;USLD91731547;4164;137924605;30692;2764081
SNAP - High and Fast;SNAP PACK - EP;Rosa Linn;7/15/2022;USSM12207368;4548;138349331;15155;4683187
Jericho;Jericho - Single;Iniko;4/15/2023;USQX92302565;1673;138403252;46111;11577648
No Te Quieren Conmigo;No Te Quieren Conmigo;Gaby Music;12/15/2023;USUM72315218;1394;138904532;20215;29032126
Bailando;Bailandome;El Jordan 23;02/10/22;QZFZ72288773;3954;138986512;24359;2386279
In This Darkness;In This Darkness - Single;Clara La San;1/29/2023;QZFZ62368273;4241;138987928;27997;4821947
Waffle House;Waffle House;Jonas Brothers;04/07/23;USUG12301227;217;139105802;16162;24753071
Montagem Mysterious Game;Montagem Mysterious Game;LXNGVX;11/17/2023;QZTBF2315869;2021;139208438;13863;30279318
Faded;Faded;Alan Walker;12/04/15;NOG841549010;653;1943842010;221874;62851374
Moletom;MOLETOM - Single;Luan Pereira;6/29/2023;BCX5C2300009;3004;139669652;9634;9093959
Falling;Fine Line;Harry Styles;12/13/2019;USSM11912590;205;1225776509;13576;95644468
Ni Una Ni Dos;Ni Una Ni Dos;BM;6/28/2023;UYB282364003;1743;139873877;17771;7444560
Daytona;Partyson;Cris Mj;11/09/23;QMFME2394931;1611;139929615;11011;21825739
Chakalitos;Chakalitos;Angi Fire;7/22/2023;USMH92305308;2229;14137400;157;171193
Attitude (feat. Charlie Wilson & Cash Cobain);Attitude (feat. Charlie Wilson & Cash Cobain);Don Toliver;5/22/2024;USAT22402817;1281;14204736;2162;41453309
HE KNOWS (feat. Lil Nas X);HE KNOWS (feat. Lil Nas X);Camila Cabello;05/10/24;USUG12402116;2632;14234598;1591;38201815
Dale Don Dale;Dale Don Dale;ElMusto;5/17/2024;TRADS2300163;2978;14289955;745;4805106
Razzi Bolja;Razzi Bolja;Harjeet Deewana;1/17/2021;ING582100020;3664;14329936;1206;238098
November Rain (2022 Version);November Rain / Double Talkin' Jive / You Could Be Mine;Guns N' Roses;11/04/22;USUG12200195;242;14394612;2572;13575009
Anabella;Anabella;Khaid;7/14/2023;US23A1566792;536;14645123;2424;586834
I Wrote The Book;3 Songs At A Time Sampler;Morgan Wallen;1/31/2023;USUG12300808;2984;140137839;23619;2972229
Florida!!! (feat. Florence + the Machine);THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401035;1162;140177107;3866;16996059
bad;0.1 flaws and all.;wave to earth;4/20/2023;KRA252300807;4377;140228805;21115;10469203
EXCESOS;Pa las Baby's Y Belikeada;Fuerza Regida;10/20/2023;QZ9QQ2300776;1785;140289944;11244;6732068
Mi Kryptonita;Talento De Vida;Doble ONE Flow Letal;10/11/23;QZTB72322595;967;140356426;9363;5604254
Yana Yana;Yana Yana;Semicenk;02/03/23;DGA082298936;3353;141236846;15605;2248819
DOGTOOTH;DOGTOOTH;Tyler, The Creator;3/27/2023;USQX92301932;1914;141377619;54114;7207419
Mi Gata;Mi Gata - Single;Standly;11/11/21;QZNWY2151576;4154;141747648;34061;3059194
Falling;Falling;Trevor Daniel;10/05/18;USUYG1221109;367;1606023895;225643;32822629
Essence (feat. Justin Bieber & Tems);Essence (feat. Justin Bieber & Tems);Wizkid;8/13/2021;USRC12102450;3333;142075177;4368;10012685
Se Grita;Reinsertado;Morad;05/12/23;QM6N22330624;1474;142131977;47009;7163568
Italodisco;Italodisco;The Kolors;05/05/23;ITQ002300342;762;142141861;22711;10786942
Dah Dah DahDah;Who is Nardo Wick?? (Deluxe);Nardo Wick;7/22/2022;USRC12202590;3766;142262820;53038;20272136
Soundgasm;Soundgasm;Rema;06/10/21;NGA3B2114003;3195;142352659;80632;7222942
"Naa Ready (From ""Leo"")";"Naa Ready (From ""Leo"")";Anirudh Ravichander;6/22/2023;INS172307161;1058;142430643;6611;5093444
Pretty Little Poison;Pretty Little Poison - Single;Warren Zeiders;3/17/2023;USWB12300190;932;142512477;23828;9380794
Who Told You (feat. Drake);Who Told You (feat. Drake) - Single;J Hus;06/08/23;GBARL2300716;1046;142574143;72496;16207605
Padam Padam;Padam Padam;Kylie Minogue;5/18/2023;GB5KW2301017;1826;142783595;27586;18160338
Won't Forget You - Edit;Won't Forget You;Shouse;02/04/22;USA2P2201279;3067;142809304;56014;16171357
Poland;Poland - Single;Lil Yachty;10/04/22;USUG12207318;2131;142817891;52177;9387393
FANCY;FANCY YOU;TWICE;4/22/2019;US5TA1900042;3012;475639302;35569;9534989
Made For Me;Made For Me;Muni Long;9/15/2023;USUG12307428;513;142945230;13253;40716529
"Hukum - Thalaivar Alappara (From ""Jailer"")";"Hukum - Thalaivar Alappara (From ""Jailer"")";Anirudh Ravichander;7/17/2023;QMBZ92351475;203;143053873;6149;3893159
Fancy;The New Classic;Iggy Azalea;01/01/14;GBUM71400597;163;724486951;8947;32447335
Broke Boys;Her Loss;Drake;11/04/22;USUG12208608;3399;143220845;57819;6493900
fast;Fast;Sueco;05/10/19;USAT21903003;3072;184246401;42246;4235755
If I Didn't Love You;If I Didn't Love You;Jason Aldean;7/23/2021;QMRSZ2101546;2268;143447350;22233;3205615
Save Me;Save Me;Jelly Roll;6/25/2020;USZHR2000088;2799;143528699;26295;1211007
RON COLA;SATURNO;Rauw Alejandro;11/11/22;USSD12201168;4319;143542362;23633;7554457
Rover;Rover - The 3rd Mini Album - EP;KAI;3/13/2023;KRA302300058;4349;144026886;13457;5233416
Peaches;The Super Mario Bros. Movie (Original Motion Picture Soundtrack);Jack Black;04/07/23;USQ4E2204040;1077;144252786;35929;3276465
Hands up!;Hands up!;6arelyhuman;12/10/22;QZTB32254226;3533;144555119;30542;5116146
What Happened To Virgil (feat. Gunna);7220;Lil Durk;03/11/22;USQX92200954;1179;144889291;63045;7698742
"O Saki Saki (From ""Batla House"")";"O Saki Saki (From ""Batla House"")";Neha Kakkar;7/15/2019;INS181904064;897;144985656;15143;5892217
Buss It;Buss It;Erica Banks;5/15/2020;USUYG1312999;3936;145000664;32202;13605018
Vamos Aclarando Muchas Cosas - En Vivo;Vamos Aclarando Muchas Cosas (En Vivo);Codiciado;09/02/22;QZQMB2102927;2887;145135597;15952;3101333
Wasted Summers;Wasted Summers;juju<3;07/12/23;QZNWT2328449;3307;145323071;25526;11685238
A Puro Dolor;A Puro Dolor - Single;Gabito Ballesteros;12/02/23;USA2P2355925;2098;145332157;8065;19954898
Nashe Si Chadh Gayi;November Top 10 Songs;Arijit Singh;11/08/16;INY091600067;4591;145467020;14037;7387064
Sobran Motivos;Sobran Motivos - Single;Conjunto Rienda Real;02/10/23;USA2P2304907;4171;145707423;11288;6908229
Fast;Death Race For Love (Bonus Track Version);Juice WRLD;03/08/19;USUG11900385;345;392674468;73288;11414109
Pointless;Pointless;Lewis Capaldi;12/02/22;DEUM72203211;3051;146341441;27011;7389277
Kitsch;Kitsch;IVE;3/27/2023;QM4TX2337765;3798;146489854;1254;4019167
Bilmem Mi?;Bilmem Mi?;Sefo;07/09/21;QMFME2103846;4144;146709792;2831;3244623
Levels;Levels (feat. Sunny Malton);Sidhu Moose Wala;5/25/2022;INU252204222;351;146988095;16234;2550626
Fast Car;Fast Car;Jonas Blue;12/04/15;GBUM71507621;4352;1145882592;139927;40886623
GODS;GODS;League of Legends;10/04/23;QZH6S1900802;1621;147487181;22912;7213431
Hours In Silence;Her Loss;Drake;11/04/22;USUG12208604;4218;147688885;45526;10274263
CARNAL;CARNAL;Peso Pluma;6/22/2023;QM7282306234;4508;148341816;16108;4577460
Red Ruby Da Sleeze;Red Ruby Da Sleeze;Nicki Minaj;03/03/23;USUM72302705;2504;148574146;2577;27326995
PLEBADA;PLEBADA;El Alfa;06/08/23;QM6P42370020;126;148677837;171;7456228
Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition);Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition) - Single;Dominic Fike;06/02/23;USQX92303644;2159;148686610;37054;15004163
Night Away (Dance) (feat. Tion Wayne);Night Away (Dance) (feat. Tion Wayne);A1 x J1;03/03/22;GBUM72200940;4253;148855365;68961;4738866
Relax My Eyes;Relax My Eyes;ANOTR;11/04/22;GBKQU2296427;1671;149095636;85011;24383123
Kiss Me;Songs of Sonder;Dermot Kennedy;09/02/22;USUG12201963;1973;149237160;22036;6228907
"Mann Bharryaa 2.0 (From ""Shershaah"")";"Mann Bharryaa 2.0 (From ""Shershaah"")";B Praak;8/15/2021;INS172102779;4424;149351877;15576;5847920
ELA PIROU NA DODGE RAM;ELA PIROU NA DODGE RAM - Single;Luan Pereira;3/17/2023;BCX5C2300005;2692;149455007;13028;12083352
Best Time;Larger Than Life;Brent Faiyaz;10/27/2023;QZNMY2304784;3883;149609501;17828;12635199
Clouds;Clouds - Single;BUNT.;01/12/23;QZTBB2202743;3459;149986283;48038;50298372
Nice to Meet You;Nice to Meet You;Imagine Dragons;5/24/2024;USUM72404007;2623;15062636;1446;39911356
"I'm A Star - From ""Wish""";"I'm A Star (From ""Wish"")";Wish - Cast;11/08/23;USWD12328243;4249;15085389;1102;7158675
"This Is The Thanks I Get?! - From ""Wish""";"This Is The Thanks I Get?! (From ""Wish"")";Chris Pine;10/25/2023;USWD12328244;492;15090071;1405;7665573
Sexy to Someone;Sexy to Someone;Clairo;5/23/2024;USA2P2416224;2329;15290073;2626;37148745
Suano;Suano - Single;NTG;3/24/2024;TCAIA2470789;3656;15333864;1439;35368637
The American Dream Is Killing Me;The American Dream Is Killing Me;Green Day;10/24/2023;USRE12300349;4181;15336055;4793;2283611
Elini Ver;Elini Ver;Amo988;5/15/2024;TRBUL2400025;2637;15352061;639;5601320
Little Life;Little Life;Cordelia;10/19/2023;QZTB32354348;1844;15433188;5294;5121873
El Beneficio De La Duda;El Beneficio De La Duda;Grupo Firme;5/28/2024;USA2P2433586;880;15557247;446;37375496
Bori;Bori (feat. Lenier);6ix9ine;3/31/2023;QZJ842002915;4206;15856627;4695;494348
Mama (with Skilla Baby & Tay B);Mama (with Skilla Baby & Tay B);Rob49;08/04/23;USA2P2330132;424;15885603;5781;2276683
7 Minute Drill;Might Delete Later;J. Cole;04/05/24;USUG12402413;4494;15948344;4948;2021225
Fast Car;Gettin' Old;Luke Combs;3/24/2023;US6XF2200436;112;518988585;73116;58391498
Softly;Making Memories;Karan Aujla;8/18/2023;CAW112300244;941;150073848;1234;8409772
Feel It Still;Woodstock;Portugal. The Man;6/15/2017;USAT21700438;3492;1303018999;239;1802
Giving Me;Giving Me;Jazzy;03/10/23;GBUM72206719;1284;150463218;44298;37322737
Friesenjung;Friesenjung;Ski Aggu;5/25/2023;DE1FB2300037;1205;150508549;70377;9755773
The Tortured Poets Department;THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401029;975;150693008;3273;15710281
Silent Hill;Mr. Morale & The Big Steppers;Kendrick Lamar;5/13/2022;USUM72208981;2933;151507054;63279;7054692
City Boys;Workout Rap 2024;Burna Boy;2/23/2022;USAT22307528;2342;152289860;58113;19505579
WAKE UP!;WAKE UP!;MoonDeity;08/05/22;QM6N22283397;3435;152307497;35409;17925243
I Know - PR1ISVX Edit;I Know (PR1ISVX Edit);Kanii;3/24/2023;USWB12301125;3617;152454686;34461;5057389
Bolide allemand;Liens du 100;SDM;12/01/22;FRUM72202503;2711;152546936;33014;4883069
Rubicon Drill;Forever - EP;Laddi Chahal;11/16/2022;DGA062247225;4082;152564352;10841;5578293
Bandit;Bandit - Single;Don Toliver;02/01/24;USAT22400561;490;152597421;19834;64067368
On Chill (feat. Jeremih);On Chill (feat. Jeremih);Wale;07/12/19;USWB11901623;3087;153042459;29703;3535441
ROLLIN N CONTROLLIN FREESTYLE;Woo Shit;DUSTY LOCANE;08/06/20;USUYG1329885;4137;153213678;70131;7126412
Pelele;Pelele;Morad;12/24/2021;QMFMF2131945;3508;153262121;62043;3300200
